career,interest_1,interest_2,interest_3,Discrete Mathematics,Fundamentals of Programming,Object-oriented Programming,Data Structures,Web Programming and Development,Computer Organisation and Architecture,Database Systems,Computer Networks,Operating Systems,Computer and Network Security,Artificial Intelligence,Ethics and Professionalism in ICT,Software Engineering and Design,Human-Computer Interaction,Computer Graphics and Visualisation,Statistics,Information Security Management,Introduction to Data Analytics,Computer Simulation and Modelling Design,Big Data Analytics and Development,File System Forensics,Digital Crime Investigation,Data and Digital Media Forensic,Digital Forensics,Digital Image Processing,Network Forensics,Military and Industry Espionage,Operational Research,Ethical Hacker,Natural Language Processing,Computational Intelligence,Knowledge based Systems and Acquisition,Cryptography,Wireless Network Security,Internet of Things,E-Commerce
1,coding,database,,,,1.0,,3.0,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
1,software development,database,,,,,2.0,,,1.0,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1,web development,coding,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,robotics,software development,coding,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,robotics,coding,devops,,,1.0,,1.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,ui/ux,software development,coding,,,,,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,software development,coding,,,,1.0,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
1,data,machine learning,coding,,,1.0,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1,web development,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,software development,coding,devops,,,3.0,,3.0,,3.0,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
2,database,data,statistics,,,,,,,1.0,,,,,,,,1.0,3.0,,3.0,,1.0,,,,,,,,,,,,,,,,
2,database,statistics,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2,data,coding,statistics,,,3.0,,,,1.0,,,,,,1.0,,1.0,3.0,,2.0,1.0,1.0,,,,,,,,2.0,,,,,,,,
2,data,big data,business analysis,,,,2.0,,,3.0,,,,,,,,,3.0,,3.0,1.0,3.0,,,,,,,,,,,,,,,,
2,robotics,coding,devops,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,data,database,,,,,,,,1.0,,,,,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,
2,data,governance and compliance,tech ethics and law,,,,,,,3.0,,,,,1.0,,,,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
2,machine learning,devops,artificial intelligence,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,
2,data,coding,business analysis,,,,,,,,,,,,,,,,3.0,,3.0,,2.0,,,,,,,,,,,,,,,,
2,database,data,statistics,,,,,1.0,,1.0,,,,,,,,1.0,3.0,,3.0,,3.0,,,,,,,,,,,,,,,,
3,network,database,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,coding,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
